公司,营业利润率,速动比率,无形资产占比,研发投入增长率,资产负债率,流动比率,毛利率,应收账款周转率,总资产周转率,研发费用占比,存货周转率,资本支出占比,净利率,ROA,营业利润增长率,风险等级
洪都航空,0.0164156257482142,0.932090217577066,0.0104206008315706,0.087993890305913,0.565418135838827,1.54360918606276,0.0426888754681286,2.53628234766265,0.396931414579331,0.0125384336457604,1.59807553853677,0.0570570642628722,0.0170828334564082,0.00743097974856658,-1.43772205922701,3
海格通信,0.0841261670278576,2.27925970237666,0.0302230960421415,0.0511812418669699,0.296043866817942,2.82570656787083,0.356426252308196,1.59864434334995,0.338082520842305,0.132857466940945,1.92964902861596,0.0778713070619779,0.0886132248656076,0.0320701496138559,-11.0440974337159,2
海特高新,0.0910455609077871,1.62881943301066,0.0443485851685066,0.0929412597511219,0.392439318413538,2.00305397165679,0.390722904528297,1.51204220756894,0.136431678709354,0.0470932856264026,1.46630766285806,0.604140856960251,0.0825698583269535,0.00546704918459617,2.16661924020952,1
航天信息,0.0670959120364912,2.63671079280042,0.0942610770778077,0.200548311905083,0.29770495874194,2.87699390959238,0.217357770220174,10.0429977049603,0.936348262465793,0.04537720212968,15.3625048597321,0.0391720068268372,0.052059784411848,0.0699659194710229,-1.90107858721014,1
航天宏图,-0.385963094410018,2.26717823726054,0.0139938515506785,0.298520991280102,0.504180840725103,2.64940161088857,0.470790332852572,1.42729822973526,0.621060733348155,0.195468150865546,2.82627776618523,0.111541117833398,-0.425168411892288,-0.00863834310404617,0.294468105989546,2
航天彩虹,0.10144699385559,2.49322886707883,0.160456410260133,0.0903429045715431,0.199722648698899,2.94208760756495,0.260277098419633,1.60056016852532,0.308174359431554,0.042397565427229,3.17832970500464,0.119023446527987,0.0852801525253287,0.0253547847666711,0.0336671619810684,2
航天电子,0.0400425067072589,0.82484253259351,0.0248064853117375,0.121770698087131,0.528784861370696,1.57688672699057,0.191914012694439,2.32399153415334,0.455713362653673,0.0414083569986386,1.01009511013282,0.0434044417089974,0.0362597762106045,0.0164960642792101,-0.0293974410964711,3
航新科技,0.000318064253813441,1.18171378029329,0.0629448375610428,0.140882547631268,0.56871817732121,1.69012038901723,0.31404902116403,2.27277646186378,0.577147871741743,0.0396454614370258,2.19186831885032,0.061861731931938,0.00629401624901877,-0.00731279473961982,-1.4346374583411,3
苏交科,0.094664517158854,1.56813680633206,0.0229601630288148,0.0240972293906316,0.53842135550103,1.57917288176103,0.342601861497544,1.10499354885194,0.412289389430645,0.0414344744578931,53.2126980576878,0.0261050934948019,0.0798317428687495,0.0338526756647911,-0.0682846969528355,1
通裕重工,0.0614220347906077,0.804630379239663,0.0377581621666211,0.250020008089087,0.519213915562935,1.27119875229889,0.199643519668971,3.02999177120198,0.393167262997261,0.0218274520249406,1.66892757634957,0.111161852505313,0.0498648568064059,0.0180780951622521,0.0668971050133763,3
金盾股份,-0.234431052720355,2.63364167540751,0.0387449644572185,0.171840778395442,0.290325535039672,3.24769939713894,0.312991780819825,0.95006974082209,0.293445339426439,0.0634393105829694,1.66695773829145,0.061032296290098,-0.269329242910913,-0.0560758732126927,-3.01301080439163,2
长源东谷,0.173431303056839,1.30285125857345,0.042762009211817,0.164313878240611,0.49886732136716,1.59064533945721,0.271168075289219,4.60559006127923,0.470881190555804,0.0506163866505518,4.6061141491272,0.266055389977809,0.15431920665911,0.0754878250485605,0.276007805474007,2
隆鑫通用,0.08277357828964,1.43200948495434,0.0555260596004585,0.111004857575629,0.394192294346195,1.60826567665963,0.183114623502938,8.07433145880289,0.973009961483238,0.0233326765851361,12.6161474970686,0.0480680314674756,0.0701384643978847,0.0642010957088145,0.132049287871794,2
